Rank,Metro,New housing units authorized per 1k existing homes (2024),New housing units authorized per 1k existing homes (2022),Total new housing units authorized (2024),Total new housing units authorized (2022),Percentage change in housing units authorized (2022–2024),Median home price,Population
124,"Green Bay, WI",12.1,8.4,"1,825","1,249",+46.1%,"$334,872","329,375"
125,"Eau Claire, WI",12.1,13.5,954,"1,030",-7.4%,"$320,966","172,886"
126,"Sacramento-Roseville-Folsom, CA",11.9,11.3,"11,613","10,800",+7.5%,"$590,697","2,406,563"
127,"Denver-Aurora-Centennial, CO",11.7,17.8,"15,570","23,009",-32.3%,"$592,884","2,977,085"
128,"Lynchburg, VA",11.7,6.8,"1,404",805,+74.4%,"$281,499","262,716"
129,"Fayetteville, NC",11.5,15.1,"1,915","2,483",-22.9%,"$250,840","389,851"
130,"Corpus Christi, TX",11.3,9.4,"2,320","1,900",+22.1%,"$221,216","446,797"
131,"Boulder, CO",11.3,11.4,"1,680","1,642",+2.3%,"$746,007","328,317"
132,"Bellingham, WA",11.2,15.6,"1,190","1,614",-26.3%,"$624,728","228,432"
133,"Amarillo, TX",11.1,8.5,"1,297",982,+32.1%,"$212,545","270,207"
134,"Goldsboro, NC",11.1,7.8,605,418,+44.7%,"$182,585","117,606"
135,"Salt Lake City-Murray, UT",11.0,21.2,"5,447","10,102",-46.1%,"$559,930","1,261,337"
136,"Salem, OR",10.8,16.9,"1,859","2,817",-34.0%,"$453,899","435,085"
137,"Dubuque, IA",10.8,3.8,474,163,+190.8%,"$268,973","98,948"
138,"Tucson, AZ",10.7,11.9,"5,250","5,714",-8.1%,"$351,115","1,049,947"
139,"Bremerton-Silverdale-Port Orchard, WA",10.7,14.6,"1,294","1,701",-23.9%,"$581,403","276,581"
140,"Wichita, KS",10.6,10.2,"3,039","2,850",+6.6%,"$217,697","648,935"
141,"Cheyenne, WY",10.6,25.5,497,"1,163",-57.3%,"$379,188","100,661"
142,"Lafayette, LA",10.5,11.0,"2,019","2,071",-2.5%,"$197,750","410,883"
143,"Eugene-Springfield, OR",10.5,10.3,"1,814","1,759",+3.1%,"$459,820","382,628"
144,"Fort Collins-Loveland, CO",10.5,15.6,"1,786","2,572",-30.6%,"$563,476","363,561"
145,"Burlington-South Burlington, VT",10.5,10.9,"1,102","1,124",-2.0%,"$474,167","226,603"
146,"Bakersfield-Delano, CA",10.4,8.7,"3,244","2,688",+20.7%,"$364,105","910,433"
147,"Springfield, MO",10.3,8.0,"2,228","1,706",+30.6%,"$265,371","481,671"
148,"Fort Wayne, IN",10.3,12.1,"2,034","2,335",-12.9%,"$252,726","451,440"
149,"Carson City, NV",10.3,10.8,264,272,-2.9%,"$495,204","58,364"
150,"Seattle-Tacoma-Bellevue, WA",10.2,15.6,"17,920","26,661",-32.8%,"$767,553","4,021,467"
151,"Las Cruces, NM",10.2,11.9,964,"1,105",-12.8%,"$289,165","221,665"
152,"Portland-South Portland, ME",10.1,13.1,"2,978","3,762",-20.8%,"$535,242","557,764"
153,"Morristown, TN",10.0,18.1,552,969,-43.0%,"$292,959","120,765"
154,"Chico, CA",9.9,20.0,946,"1,853",-48.9%,"$400,353","209,470"
155,"Baton Rouge, LA",9.7,9.8,"3,806","3,770",+1.0%,"$244,757","871,379"
156,"Flagstaff, AZ",9.7,10.5,703,738,-4.7%,"$633,484","144,643"
157,"Riverside-San Bernardino-Ontario, CA",9.6,10.4,"15,824","16,747",-5.5%,"$591,424","4,637,725"
158,"Louisville/Jefferson County, KY-IN",9.5,8.9,"5,796","5,376",+7.8%,"$271,731","1,361,847"
159,"Tulsa, OK",9.5,11.5,"4,311","5,123",-15.9%,"$246,613","1,026,209"
160,"Olympia-Lacey-Tumwater, WA",9.5,12.3,"1,222","1,538",-20.5%,"$534,623","296,640"
161,"Fresno, CA",9.4,9.2,"3,782","3,662",+3.3%,"$407,203","1,170,942"
162,"Mount Vernon-Anacortes, WA",9.4,10.2,547,579,-5.5%,"$584,283","130,407"
163,"Grand Island, NE",9.4,7.3,307,234,+31.2%,"$258,301","76,619"
164,"Kansas City, MO-KS",9.3,11.7,"9,148","11,213",-18.4%,"$319,698","2,202,006"
